OBJECTID,SiteID,SiteName1,SiteName2,Region,SubRegion,Datum,Latitude,Longitude,SurveyYear,DateStart,DateFin,SpeciesID,NestPairs,Individuals,Eggs,LiveYoung,EmptyNests,Technique,ColSize,DataRef,ObserverID,LocDesc,GeorefPt,GazetteName,CorrespLoc,DataEntryPers,DateEntered,Notes
11,EM-010.04,Kunghit Island - Lyman Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076724,-130.938534,1986, , ,GWGU,8,,,,,Inferred count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Lyman Islet"" - islet 1.8 km south of Lyman Point.",,Yes,More than,williamsr,2008-05-29,
12,EM-010.04,Kunghit Island - Lyman Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076724,-130.938534,1986, , ,TUPU,,238,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Lyman Islet"" - islet 1.8 km south of Lyman Point.",,Yes,More than,williamsr,2008-05-29,
13,EM-010.04,Kunghit Island - Lyman Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076724,-130.938534,2005, , ,GWGU,7,,,,,partial count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Lyman Islet"" - islet 1.8 km south of Lyman Point.",,Yes,More than,williamsr,2008-05-29,
14,EM-010.05,Kunghit Island - Luxana Arch,,Haida Gwaii,East Coast Moresby Island,NAD83,52.062162,-130.983888,1986, , ,GWGU,4,,,,,Inferred count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Arch"" - a rock arch on the point east of Treat Bay on the north side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
15,EM-010.05,Kunghit Island - Luxana Arch,,Haida Gwaii,East Coast Moresby Island,NAD83,52.062162,-130.983888,1986, , ,PECO,22,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Arch"" - a rock arch on the point east of Treat Bay on the north side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
16,EM-010.05,Kunghit Island - Luxana Arch,,Haida Gwaii,East Coast Moresby Island,NAD83,52.062162,-130.983888,1986, , ,TUPU,,2,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Arch"" - a rock arch on the point east of Treat Bay on the north side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
17,EM-010.05,Kunghit Island - Luxana Arch,,Haida Gwaii,East Coast Moresby Island,NAD83,52.062162,-130.983888,2005, , ,GWGU,5,,,,,partial count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Arch"" - a rock arch on the point east of Treat Bay on the north side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
18,EM-010.06,Kunghit Island - SW Treat Bay,,Haida Gwaii,East Coast Moresby Island,NAD83,52.05225,-131.02495,2005,25/Jun/05,25/Jun/05,BLOY,1,,1,0,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""SW Treat Bay"" - small bay on north side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
19,EM-010.07,Kunghit Island - Luxana Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.058624,-131.067197,1986,5/Jun/86,17/Jun/86,BLOY,1,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Rock"" - a 5m high rock on the west side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
20,EM-010.07,Kunghit Island - Luxana Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.058624,-131.067197,2005,25/Jun/05,25/Jun/05,BLOY,1,,0,1,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Luxana Rock"" - a 5m high rock on the west side of Luxana Bay.",,Yes,More than,williamsr,2008-05-29,
21,EM-010.08,"Kunghit Island, Annis Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.023783,-131.004959,1986, , ,ANMU,8000,,,,,Partial Count,35.3,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Annis Point - on east side between Luxana Bay and Howe Bay.,,Yes,More than,williamsr,2008-05-29,
22,EM-010.08,"Kunghit Island, Annis Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.023783,-131.004959,1986, , ,PIGU,,8,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Annis Point - on east side between Luxana Bay and Howe Bay.,,Yes,More than,williamsr,2008-05-29,
23,EM-010.08,"Kunghit Island, Annis Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.023783,-131.004959,1993, , ,ANMU,3550,,,,,Transects,11.1,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Annis Point - on east side between Luxana Bay and Howe Bay.,,Yes,More than,williamsr,2008-05-29,
24,EM-010.08,"Kunghit Island, Annis Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.023783,-131.004959,2004, , ,ANMU,0,,,,,Total Count,0,30,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Kunghit Island - at the south end of Moresby Island. Annis Point - on east side between Luxana Bay and Howe Bay.,,Yes,More than,williamsr,2008-05-29,
25,EM-010.09,Kunghit Island - Ballard Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,51.975396,-131.005805,1986,5/Jun/86,17/Jun/86,BLOY,1,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Ballard Rock"" - the rock off Ballard Point.",,Yes,More than,williamsr,2008-05-29,
26,EM-010.09,Kunghit Island - Ballard Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,51.975396,-131.005805,1986, , ,GWGU,6,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Ballard Rock"" - the rock off Ballard Point.",,Yes,More than,williamsr,2008-05-29,
27,EM-010.09,Kunghit Island - Ballard Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,51.975396,-131.005805,1986, , ,PIGU,,4,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Ballard Rock"" - the rock off Ballard Point.",,Yes,More than,williamsr,2008-05-29,
28,EM-010.10,Kunghit Island - Cape West,,Haida Gwaii,East Coast Moresby Island,NAD83,51.943949,-131.028292,1986,5/Jun/86,17/Jun/86,BLOY,1,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Cape West"" - the west side of the south tip of the island.",,Yes,More than,williamsr,2008-05-29,
29,EM-010.11,"Kunghit Island, Barber Point",,Haida Gwaii,East Coast Moresby Island,NAD83,52.003789,-131.109829,1986, , ,PIGU,,15,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. Barber Point - on west side of island, south of Gilbert Bay.",,Yes,More than,williamsr,2008-05-29,
30,EM-010.12,Kunghit Island - South of Bowles Point,,Haida Gwaii,East Coast Moresby Island,NAD83,52.055799,-131.115189,1986, , ,TUPU,,3,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""South of Bowles Point"" - slope to south of Bowles Point, on west side of Kunghit Island.",,Yes,More than,williamsr,2008-05-29,
31,EM-010.13,Kunghit Island - Bowles Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076741,-131.132227,1986,5/Jun/86,17/Jun/86,BLOY,3,,5,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Bowles Rock"" - the separate rock off the north-west corner of the Bowles Point peninsula.",,Yes,More than,williamsr,2008-05-29,
32,EM-010.13,Kunghit Island - Bowles Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076741,-131.132227,1986, , ,GWGU,11,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Bowles Rock"" - the separate rock off the north-west corner of the Bowles Point peninsula.",,Yes,More than,williamsr,2008-05-29,
33,EM-010.13,Kunghit Island - Bowles Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.076741,-131.132227,1986, , ,PIGU,,19,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"Kunghit Island - at the south end of Moresby Island. ""Bowles Rock"" - the separate rock off the north-west corner of the Bowles Point peninsula.",,Yes,More than,williamsr,2008-05-29,
34,EM-020,Marshall Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10055556,-130.9672222,1986,6/Jun/86,6/Jun/86,BLOY,1,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,In Keeweenah Bay on the northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
35,EM-020,Marshall Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10055556,-130.9672222,1986, , ,PIGU,,27,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,In Keeweenah Bay on the northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
36,EM-020,Marshall Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10055556,-130.9672222,2005,25/Jun/05,25/Jun/05,BLOY,0,,0,0,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,In Keeweenah Bay on the northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
37,EM-030,Gull Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10778,-130.95278,1986,18/Jun/86,18/Jun/86,BLOY,2,,2,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Prevost Point on the east side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
38,EM-030,Gull Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10778,-130.95278,1986, , ,GWGU,1,,,,,Inferred count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Prevost Point on the east side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
39,EM-030,Gull Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10778,-130.95278,1986, , ,PIGU,,8,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Prevost Point on the east side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
40,EM-030,Gull Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10778,-130.95278,2005,25/Jun/05,25/Jun/05,BLOY,2,,2,2,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Prevost Point on the east side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
41,EM-030,Gull Islet,,Haida Gwaii,East Coast Moresby Island,NAD83,52.10778,-130.95278,2005, , ,GWGU,3,,,,,Total Count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Prevost Point on the east side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
42,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,1986,5/Jun/86,5/Jun/86,BLOY,3,,2,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
43,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,1986, , ,GWGU,26,,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
44,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,1986, , ,PIGU,,20,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
45,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,1986, , ,STPE,100,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
46,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,2005,25/Jun/05,25/Jun/05,BLOY,5,,6,2,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
47,EM-040,Rainy Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.11694444,-130.985,2005, , ,GWGU,19,,,,,Total Count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,North of Montserrat Bay on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
48,EM-050,High Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.12722222,-131.0116667,1985, , ,ANMU,0,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Orion Point on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
49,EM-050,High Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.12722222,-131.0116667,1985, , ,PIGU,,8,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Orion Point on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
50,EM-050,High Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.12722222,-131.0116667,1985, , ,RHAU,10,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Orion Point on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
51,EM-050,High Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.12722222,-131.0116667,1993, , ,RHAU,6,,,,,Total count,0,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Orion Point on northeast side of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
52,EM-060,Haydon Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.14388889,-131.0358333,1986,18/Jun/86,18/Jun/86,BLOY,1,,2,0,,Total count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Moore Head on the northeast corner of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
53,EM-060,Haydon Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.14388889,-131.0358333,1986, , ,GWGU,1,,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Moore Head on the northeast corner of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
54,EM-060,Haydon Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.14388889,-131.0358333,2005,25/Jun/05,25/Jun/05,BLOY,1,,0,1,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Moore Head on the northeast corner of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
55,EM-060,Haydon Rock,,Haida Gwaii,East Coast Moresby Island,NAD83,52.14388889,-131.0358333,2005, , ,GWGU,0,,,,,Total Count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,Southeast of Moore Head on the northeast corner of Kunghit Island,,Yes,Complete,williamsr,2008-05-29,
56,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1985,6/Jun/85,6/Jun/85,BLOY,1,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
57,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1985, , ,CAAU,10,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
58,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1985, , ,PIGU,,24,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
59,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1985, , ,RHAU,50,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
60,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1986, , ,CAAU,0,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
61,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1986, , ,FTSP,100,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
62,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1986, , ,PIGU,,1,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
63,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1986, , ,RHAU,130,,,,,Partial Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
64,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1993, , ,CAAU,0,,,,,Total count,0,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
65,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1993, , ,RHAU,90,,,,,Total count,0,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
66,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,1993, , ,STPE,120,,,,,Total count,0,24,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
67,EM-070,Charles Islands,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15472222,-131.0625,2005,25/Jun/05,25/Jun/05,BLOY,1,,1,0,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,At the east entrance to Houston Stewart Channel,,Yes,Complete,williamsr,2008-05-29,
68,EM-080,Annette Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15611111,-131.0741667,1985, , ,PIGU,,16,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"At east end of Houston Stewart Channel northeast of Rose Harbour, west of Charles Islands",,Yes,More than,williamsr,2008-05-29,
69,EM-080,Annette Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15611111,-131.0741667,1986, , ,CAAU,0,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"At east end of Houston Stewart Channel northeast of Rose Harbour, west of Charles Islands",,Yes,More than,williamsr,2008-05-29,
70,EM-080,Annette Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15611111,-131.0741667,1986, , ,PIGU,,9,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"At east end of Houston Stewart Channel northeast of Rose Harbour, west of Charles Islands",,Yes,More than,williamsr,2008-05-29,
71,EM-080,Annette Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.15611111,-131.0741667,1986, , ,RHAU,20,,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"At east end of Houston Stewart Channel northeast of Rose Harbour, west of Charles Islands",,Yes,More than,williamsr,2008-05-29,
72,EM-090,Garcin Rocks,Taan Gwaay,Haida Gwaii,East Coast Moresby Island,NAD83,52.20833333,-130.9666667,1986,18/Jun/86,18/Jun/86,BLOY,0,,0,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Benjamin Point, south of Langtry Island",,Yes,Complete,williamsr,2008-05-29,
73,EM-090,Garcin Rocks,Taan Gwaay,Haida Gwaii,East Coast Moresby Island,NAD83,52.20833333,-130.9666667,1986, , ,GWGU,102,,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Benjamin Point, south of Langtry Island",,Yes,Complete,williamsr,2008-05-29,
74,EM-090,Garcin Rocks,Taan Gwaay,Haida Gwaii,East Coast Moresby Island,NAD83,52.20833333,-130.9666667,1986, , ,PIGU,,6,,,,Total Count,0,"1,3",Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Benjamin Point, south of Langtry Island",,Yes,Complete,williamsr,2008-05-29,
75,EM-090,Garcin Rocks,Taan Gwaay,Haida Gwaii,East Coast Moresby Island,NAD83,52.20833333,-130.9666667,2005,24/Jun/05,24/Jun/05,BLOY,2,,2,0,,Total count,0,59,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Benjamin Point, south of Langtry Island",,Yes,Complete,williamsr,2008-05-29,
76,EM-090,Garcin Rocks,Taan Gwaay,Haida Gwaii,East Coast Moresby Island,NAD83,52.20833333,-130.9666667,2005, , ,GWGU,116,,,,,Total Count,0,36,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,"East of Benjamin Point, south of Langtry Island",,Yes,Complete,williamsr,2008-05-29,
77,EM-100,Langtry Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.23111111,-131.0072222,1985,6/Jun/85,7/Jun/85,BLOY,3,,8,0,,Total count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Ingraham Point at the southeast corner of Carpenter Bay,,Yes,Complete,williamsr,2008-05-29,
78,EM-100,Langtry Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.23111111,-131.0072222,1985, , ,PIGU,,7,,,,Total Count,0,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Ingraham Point at the southeast corner of Carpenter Bay,,Yes,Complete,williamsr,2008-05-29,
79,EM-100,Langtry Island,,Haida Gwaii,East Coast Moresby Island,NAD83,52.23111111,-131.0072222,1985, , ,STPE,12300,,,,,Transects,1.3,1,Environment Canada - Canadian Wildlife Service Pacific and Yukon Region,East of Ingraham Point at the southeast corner of Carpenter Bay,,Yes,Complete,williamsr,2008-05-29,
