location_name,location_index,location_midpoint_lng,location_midpoint_lat,location_comments,survey_start_year,survey_start_month,survey_start_day,survey_end_year,survey_end_month,survey_end_day,survey_time,survey_comments,personnel_list,sponsor_list,document_list,species_common_name,species_abundance,site_use,data_quality,breeding_individuals,total_individuals,count_conversions,best_current_value,status_record_comments,,,,,,,,,,,,,,
60 Foot Rock,AK Map 50 Site 10,-151.46391,59.5497,,1990,6,19,1990,6,19,,,"Mike Nishimoto, Cameron Thomas",,"Nishimoto, M., and C. Thomas. 1991. Breeding seabirds at Gull Island and Sixty-Foot Rock during 1990",Tufted Puffin,Present,Breeding,Fair,,2,2x census data value,TRUE,multiplied observers est by 2,,,,,,,,,,,,,,
Adak I.(Bay Of Is),AK Map 17 Site 18,-176.80501,51.81818,,1971,7,,1971,7,,,,"G Byrd <vernon_byrd@fws.gov>, David Johnson",,"Byrd, G.V.. 1972. Birds and mammals observed in Bay of Islands, Adak, Alaska, 14 May - 17 July 1971",Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,500,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Adak I.(Bay Of Is),AK Map 17 Site 18,-176.80501,51.81818,,1980,6,7,1980,6,7,,,"Tom Early, Kent Hall, Bev Minn",,"Early, T.. 1981. Results of a bird and mammal survey in the central Aleutian Islands, summer 1980",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,118,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Adak I.(Bay Of Is),AK Map 17 Site 18,-176.80501,51.81818,,1993,7,6,1993,7,13,,Census period 6-13 July 1993.,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding and Roosting,Fair,,262,Literal (equal to census data value),FALSE,Count of birds on North Is. (west side).,,,,,,,,,,,,,,
Adak I.(Bay Of Is),AK Map 17 Site 18,-176.80501,51.81818,,1995,,,1995,,,,,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding and Roosting,Fair,,209,Literal (equal to census data value),TRUE,Counts of birds on North & South Island.  Birds present on Eddy Is.,,,,,,,,,,,,,,
Adak I.(Bay Of Waterfalls),AK Map 17 Site 7,-176.87519,51.67721,,1972,7,,1972,7,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,500,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Adak I.(Beyer Bay),AK Map 17 Site 21,-176.7285,51.6773,,1993,7,6,1993,7,13,,Census period 6-13 July 1993.,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding and Roosting,Fair,,41,Literal (equal to census data value),FALSE,Nesting on east side of bay.,,,,,,,,,,,,,,
Adak I.(Beyer Bay),AK Map 17 Site 21,-176.7285,51.6773,,1995,,,1995,,,,,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding,Fair,,24,Literal (equal to census data value),TRUE,Nesting on east side of bay.,,,,,,,,,,,,,,
Adak I.(Boot Bay),AK Map 17 Site 11,-176.49999,51.71669,,1972,7,,1972,7,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,1500,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Adak I.(Camel Cove),AK Map 17 Site 20,-176.59998,51.69999,,1993,,,1993,,,,,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding and Roosting,Fair,,167,Literal (equal to census data value),FALSE,Colonies on SW & SE side of cove entrance.,,,,,,,,,,,,,,
Adak I.(Camel Cove),AK Map 17 Site 20,-176.59998,51.69999,,1995,,,1995,,,,,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Present,Breeding and Roosting,Fair,,197,Literal (equal to census data value),TRUE,Colonies on SW & SE side of cove entrance.,,,,,,,,,,,,,,
Adak I.(Unnamed I By Crone I),AK Map 17 Site 9,-176.64999,51.64999,,1995,,,1995,,,,,"Joseph Meehan, Lisa Scharf, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Scharf, L., J.P. Meehan, and J.C. Williams. 1996. Status of tufted puffins on the Adak Naval Reservation, Alaska, 1993 - 1995.  Department of Defense Legacy Project Numbers 400 and 1658",Tufted Puffin,Unspecified,Breeding,Fair,,65,"Observer provided a range (e.g. ""100 to 250"").  Catalog data are midpoint of range.",TRUE,Estimated 50-80 birds on SW side of islet.,,,,,,,,,,,,,,
Adokt Island,AK Map 23 Site 62,-166.05918,53.98579,,1980,5,18,1980,5,18,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Fair,25492,,Literal (equal to census data value),TRUE,Tufted puffin estimate based on a assumed 65% burrows occupied.,,,,,,,,,,,,,,
Adugak Island,AK Map 21 Site 5,-169.16218,52.9097,,1980,8,6,1980,8,6,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Unspecified,Fair,,400,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,,,,,,,,,,,,,,,
Adugak Island,AK Map 21 Site 5,-169.16218,52.9097,,,,,,,,,,Robert Jones,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agate,AK Map 129 Site 3,-165.94913,68.13499,,1959,,,1959,,,,,L. Swartz,,"Swartz, L.G.. 1966. Sea-cliff birds",Tufted Puffin,Unspecified,Breeding,Unknown,,0,,FALSE,,,,,,,,,,,,,,,
Agate,AK Map 129 Site 3,-165.94913,68.13499,,1960,,,1960,,,,"UNMU & HOPU estimates derived from counts on study plots, averaged, and correction factor applied, dependant upon activity curve.",L. Swartz,,"Swartz, L.G.. 1966. Sea-cliff birds",Tufted Puffin,Present,Unspecified,Fair,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agate,AK Map 129 Site 3,-165.94913,68.13499,,1961,,,1961,,,,"UNMU & HOPU estimates derived from counts on study plots, averaged, and correction factor applied, dependant upon activity curve.",L. Swartz,,"Swartz, L.G.. 1966. Sea-cliff birds",Tufted Puffin,Present,Unspecified,Fair,,,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Agattu I. (S.W. Coast),AK Map 13 Site 33,173.41672,52.39999,,1975,7,,1975,7,,,,John Trapp,,"Trapp, J.L.. 1975. Birds and mammals of Agattu Island, Aleutian Islands, Alaska summer 1975",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,5000,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I. (S.W. Coast),AK Map 13 Site 33,173.41672,52.39999,,1979,7,6,1979,7,6,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,770,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(Armeria Bay),AK Map 13 Site 35,173.54925,52.46124,,1979,7,6,1979,7,6,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,197,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Agattu I.(E. Half N. Coast),AK Map 13 Site 36,173.66875,52.50515,,1979,7,6,1979,7,6,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,500,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(E. Half N. Coast),AK Map 13 Site 36,173.66875,52.50515,,1982,6,12,1982,6,12,,,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding,Fair,,900,,TRUE,Observations from area only as far W. as Patricia Pt.,,,,,,,,,,,,,,
Agattu I.(E. Tower Cove),AK Map 13 Site 6,173.68331,52.3667,,1979,7,6,1979,7,6,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,123,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(E. Tower Cove),AK Map 13 Site 6,173.68331,52.3667,,1982,6,,1982,6,,,Details from colony status records.,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding,Fair,,4717,Literal (equal to census data value),TRUE,700m of coast and .5 burrows per meter.,,,,,,,,,,,,,,
Agattu I.(Kohl I),AK Map 13 Site 5,173.65001,52.35167,,1972,7,,1972,7,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,2200,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(Kohl I),AK Map 13 Site 5,173.65001,52.35167,,1982,6,,1982,6,,,,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding,Excellent,7656,,2x census data value,FALSE,,,,,,,,,,,,,,,
Agattu I.(Kohl I),AK Map 13 Site 5,173.65001,52.35167,,1988,,,1988,,,,Survey includes both north and south sides of the island.,,USFWS,"Byrd, G. V.; Douglas, H.; Mayock, E., O'Daniel, D.; and Williams, J.. October 1990. The Status  of Tufted and Horned Puffins in the Western Aleutian Islands Following a Ban on Salmon Driftnets (Draft)",Tufted Puffin,Unspecified,Breeding,Good,3324,,number of burrows on north side of island (1073) * 2 * mean occupancy rate (0.60) plus number of burrows on south side of island (1616) * 2 * mean occupancy rate (0.63),FALSE,Population Status may have been specified in the supporting document.  Only excerpts of the document were available for data entry.,,,,,,,,,,,,,,
Agattu I.(Kohl I),AK Map 13 Site 5,173.65001,52.35167,,1989,,,1989,,,,Survey includes both north and south sides of the island.,,USFWS,"Byrd, G. V.; Douglas, H.; Mayock, E., O'Daniel, D.; and Williams, J.. October 1990. The Status  of Tufted and Horned Puffins in the Western Aleutian Islands Following a Ban on Salmon Driftnets (Draft)",Tufted Puffin,Unspecified,Breeding,Good,4378,,number of burrows on north (1143) and south (1593) sides of island (total 2736) * 2 * mean occupancy rate (0.8),FALSE,Population Status may have been specified in the supporting document.  Only excerpts of the document were available for data entry.,,,,,,,,,,,,,,
Agattu I.(Kohl I),AK Map 13 Site 5,173.65001,52.35167,,1990,,,1990,,,,Survey includes both north and south sides of the island.,Jeffrey Williams <Jeff_Williams@fws.gov>,USFWS,"Byrd, G. V.; Douglas, H.; Mayock, E., O'Daniel, D.; and Williams, J.. October 1990. The Status  of Tufted and Horned Puffins in the Western Aleutian Islands Following a Ban on Salmon Driftnets (Draft)",Tufted Puffin,Unspecified,Breeding,Good,3453,,number of burrows on north side of island (1323) * 2 * mean occupancy rate (0.54) plus number of burrows on south side of island (1745) * 2 * mean occupancy rate (0.58),TRUE,Population Status may have been specified in the supporting document.  Only excerpts of the document were available for data entry.,,,,,,,,,,,,,,
Agattu I.(N. Half E. Coast),AK Map 13 Site 37,173.70473,52.48036,,1975,7,,1975,7,,,,John Trapp,,"Trapp, J.L.. 1975. Birds and mammals of Agattu Island, Aleutian Islands, Alaska summer 1975",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,1000,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(N. Half E. Coast),AK Map 13 Site 37,173.70473,52.48036,,1979,7,5,1979,7,5,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,113,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(N. Half E. Coast),AK Map 13 Site 37,173.70473,52.48036,,1982,6,12,1982,6,12,,,"Douglas Forsell, Chris Ambroz",USFWS MBM,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding,Fair,2726,,2x census data value,TRUE,"10m wide by cliff length every 200m for 3,400m.",,,,,,,,,,,,,,
Agattu I.(N.W. Coast),AK Map 13 Site 34,173.40174,52.43079,,1975,7,,1975,7,,,,John Trapp,,"Trapp, J.L.. 1975. Birds and mammals of Agattu Island, Aleutian Islands, Alaska summer 1975",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,500,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(N.W. Coast),AK Map 13 Site 34,173.40174,52.43079,,1979,7,6,1979,7,6,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,783,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(Otkriti Bay),AK Map 13 Site 32,173.60002,52.4,,1975,7,,1975,7,,,,John Trapp,,"Trapp, J.L.. 1975. Birds and mammals of Agattu Island, Aleutian Islands, Alaska summer 1975",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,10000,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(Otkriti Bay),AK Map 13 Site 32,173.60002,52.4,,1982,6,13,1982,6,13,,,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding and Roosting,Poor,,300,Literal (equal to census data value),TRUE,Guesstimate.,,,,,,,,,,,,,,
Agattu I.(S. Half E. Coast),AK Map 13 Site 7,173.71672,52.38329,,1972,7,,1972,7,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,900,Literal (equal to census data value),FALSE,Includes N. half of 007.,,,,,,,,,,,,,,
Agattu I.(S. Half E. Coast),AK Map 13 Site 7,173.71672,52.38329,,1979,7,5,1979,7,5,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,391,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Agattu I.(S. Half E. Coast),AK Map 13 Site 7,173.71672,52.38329,,1982,6,,1982,6,,,Includes N. half of 007.,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Unspecified,Breeding,Fair,4500,,2x census data value,TRUE,"10m wide by cliff length plot, every 200m for 3,000m.",,,,,,,,,,,,,,
Agattu I.(Tower I),AK Map 13 Site 4,173.64061,52.36224,,1982,6,,1982,6,,,,"Chris Ambroz, Douglas Forsell",,"Forsell, D.J. and C.J. Ambroz. 1983. Seabird populations of eastern Agattu Island - summer 1982",Tufted Puffin,Present,Breeding,Fair,4666,,2x census data value,TRUE,Bird # = (burrow # x 2) x 0.65.,,,,,,,,,,,,,,
Agattu I.(Tower I),AK Map 13 Site 4,173.64061,52.36224,,1990,,,1990,,,,West of central ridge only,Jeffrey Williams <Jeff_Williams@fws.gov>,USFWS,"Byrd, G. V.; Douglas, H.; Mayock, E., O'Daniel, D.; and Williams, J.. October 1990. The Status  of Tufted and Horned Puffins in the Western Aleutian Islands Following a Ban on Salmon Driftnets (Draft)",Tufted Puffin,Unspecified,Breeding,Good,2300,,Total Breeding = number of burrows on the island (2255) * 2 * mean occupancy rate (0.51),TRUE,Population Status may have been specified in the supporting document.  Only excerpts of the document were available for data entry.,,,,,,,,,,,,,,
Agattu Island,AK Map 13,173.5913672,52.41811203,Encompasses all colonies on the island.,1979,7,5,1979,7,6,Unknown.,Part of Aleutian Islands inventory project.,"David Beale, Tom Early, William Henry <Bill_Henry@fws.gov>, Andrew Taber",USFWS,"Early, T.. February 1980. Results of bird and mammal surveys of the western Aleutians",Tufted Puffin,Unspecified,Breeding,,,3200,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Aghik Island,AK Map 31 Site 9,-156.75466,56.19581,,1972,5,17,1972,5,17,,,Willard Troyer,,U.S. Fish and Wildlife Service. 1972. Wilderness record Semidi wilderness proposal,Tufted Puffin,Unspecified,Unspecified,Unknown,,5000,,FALSE,,,,,,,,,,,,,,,
Aghik Island,AK Map 31 Site 9,-156.75466,56.19581,,1981,,,1981,,,,,"Martha Hatch, Scott Hatch",,"Hatch, S.A. and M.A. Hatch. 1983. Populations and habitat use of marine birds in the Semidi Islands, Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,12000,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Aghiyuk Island,AK Map 31 Site 8,-156.78689,56.1739,,1981,,,1981,,,,,"Scott Hatch, Martha Hatch",,"Hatch, S.A. and M.A. Hatch. 1983. Populations and habitat use of marine birds in the Semidi Islands, Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,1000,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1972,7,30,1972,7,30,,,"M. Isleib, Tom Ray",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,1000,,2x census data value,FALSE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1976,6,15,1976,6,15,,,"Colleen Handel, Arthur Sowls",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Unknown,,200,,FALSE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1977,7,28,1977,7,28,,,"Carl Benz, Mary Sangster",,"Sangster, M.E., C.T. Benz, and D.J. Kurhajec. 1978. Reproductive ecology of seabirds at Hinchinbrook Island and a census of seabirds at selected sites in Prince William Sound, 1977",Tufted Puffin,Unspecified,Breeding,Fair,100,,2x census data value,FALSE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1978,,,1978,,,,,"K. Kuletz, Karen Oakley",,"Oakley, K.L. and K.J. Kuletz. 1979. Summer distribution and abundance of marine birds and mammals in the vicinity of Naked Island, Prince William Sound, Alaska in 1978 and aspects of the reproductive ecology of the pigeon guillemot",Tufted Puffin,Unspecified,Breeding,Fair,200,,2x census data value,TRUE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1979,6,,1979,6,,,,"William Eldridge, K. Kuletz",,"Eldridge, W.D. and K.L. Kuletz. 1980. Breeding and feeding ecology of pigeon guillemots (Cepphus columba) at Naked Island, Alaska",Tufted Puffin,Unspecified,Breeding,Fair,,292,,FALSE,,,,,,,,,,,,,,,
Agnes Triangle,AK Map 63 Site 21,-147.38421,60.61439,,1999,6,29,1999,6,29,,Surveyed southeast side of island only.,"Angela Palmer, Mike Walgren",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,3,Literal (equal to census data value),FALSE,"Minimal count, entire colony not surveyed.",,,,,,,,,,,,,,
"Agnes, Bass Island",AK Map 63 Site 118,-147.39,60.61417,,1993,6,11,1993,6,11,,Special PIGU Survey.  Censused during peak colony attendance indicated by courtship displays and site-attachment behavior.  1993 Field No 03031.,"John Maniscalco, Kathleen Roush",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,4,,2x census data value,TRUE,Two TUPUs flushed from nests.,,,,,,,,,,,,,,
Agripina Bay,AK Map 36 Site 4,-156.4106,57.12139,,1999,7,27,1999,7,27,,,"Robert Blush, Susan Savage <susan_savage@fws.gov>, Melanie Spies",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Fair,,2,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
