lngLocationID,strColonyCode,strColonyName,strColonyType,strCounty,strState,strCountry,strPFSubregion,strJurisdiction,strDescription,strLME,strUSFWSRefuge,dblLatitude,dblLongitude,dblDistanceToShore
2034,270-117.1,"""Unnamed Colony""",BLOY Nest Sites,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Large rock between 270-117 and 270-118.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09222,-124.3433,127.4473074
2035,270-115C,"""Twin Rocks Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-115 and 270-116.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09222222,-124.3508333,633.0059027
2036,270-115,Twin Rocks (East),Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"128' high rock, sparsely vegetated.  Eastern rock of twin rocks.  Was 270-116 in 1979 draft catalog.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09300493,-124.3495935,506.76186
2037,270-114.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Flat-topped rock on south side of Cape Ferrelo.  Connected to mainland at low tide; sparsely vegetated.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.09945138,-124.3492346,32.14097761
2038,270-114,House Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,109' high rock NW of Cape Ferrelo.  Ferns in crevices.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.10884124,-124.3670123,1031.512074
2039,270-113,Barnacle Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,28' high rock north of House Rock; probably awash in large swells.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.11072554,-124.3661479,876.9845837
2040,270-112,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Group of rocks west of headland north of House Rock Creek.  Largest rock sparsely vegetated.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.1135671,-124.3564196,16.13777577
2041,270-111,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Colony is a small knob of land north of the headland that's north of House Rock Creek.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.1242189,-124.3547131,0
2042,270-110,"""Whaleshead Cove"" (West Rock)",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Large western rock in Whalehead Cove.  Vegetated on NW area of top.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.13873328,-124.3627153,542.6085438
2043,270-109C,"""Whaleshead Cove Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-109 and 270-110.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.13888889,-124.3622222,498.8435842
2044,270-109,"""Whaleshead Cove"" (East Rock)",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Easternmost of two large rocks in Whalehead Cove.  Covered with grasses.  Was 270-110 in 1979 draft catalog.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.13970468,-124.3611168,391.3131419
2045,270-108,Whaleshead Island,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,144' high vegetated rock that appears pyramidal from shore.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.14208527,-124.3595584,140.3223848
2046,270-107,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Includes cliffs and bluffs on headland north of Whalehead Island cove.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.14561899,-124.3611014,0
2047,270-106,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Large, heavily-vegetated rock 163' high in cove north of Whalehead Island cove.  Vegetated area approx. 1 acre.  Deep soil on NE corner.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.14780585,-124.3618514,95.0846751
2048,270-105.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Small point of land just north of 270-106.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.14898557,-124.3631949,0
2049,270-105,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Group of three rocks in cove south of 270-104, including 75' arched rock with sparse vegetation.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.15005171,-124.3645061,96.69540528
2050,270-104,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Includes rocks connected to shore by arch.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.15286764,-124.3661117,0
2051,270-103.3,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  North side of headland south of Thomas Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.15870055,-124.364047,0
2052,270-103.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,78' high rock with soil and short vegetation south of Thomas Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.16362835,-124.3635574,136.4762165
2053,270-103.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Small rock west of Thomas Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.16508466,-124.3663148,336.0377779
2054,270-103,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Cluster of rocks, tallest 64' high with barren soil.  Some rocks awash at high tide.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.1691548,-124.3667212,152.6084402
2055,270-102,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,75' high rock covered with low vegetation.  Adjacent rock awash at high tide.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17140889,-124.3653167,153.5238645
2056,270-101,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Pinnacle; close to the beach.  Just south of China Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17315913,-124.3632222,109.1267014
2057,270-100.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Middle rock of three pinnacles with flat slope facing south.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17479658,-124.3653689,251.723028
2058,270-100.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Flattened spire WNW of China Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17483553,-124.3663224,330.0127284
2059,270-100,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Two rocks north of China Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17567981,-124.3645937,179.8719
2060,270-099,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,40' tall rock WNW of China Creek mouth.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.17600121,-124.3692624,566.2147742
2061,270-098.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.   Cliffs on south side of headland between Horse Prairie Creek and Spruce Creek.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.18288392,-124.3638689,0
2062,270-098.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Rock just south of 270-098.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.18658386,-124.367391,76.48198421
2063,270-098,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Rock with cave south of Natural Bridges point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.1875502,-124.3679401,64.19318075
2064,270-097.2,"""Natural Bridges Point""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs on east face of Natural Bridges point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.18920506,-124.3688308,0
2065,270-097,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Two rocks northwest of Natural Bridges.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.19086404,-124.3729658,177.2103029
2066,270-097.1,"""Wridge Creek Cove""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,State,Mainland colony.  Cliffs of cove where Wridge Creek meets the ocean.,California Current,,42.1915052,-124.3686874,0
2067,270-096,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Group of rocks south of Deer Point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.19410569,-124.3738748,148.4894556
2068,270-095,"""Deer Point Rocks""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Two rocks west of Deer Point.  Largest with thick, low vegetation.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.19588029,-124.3763017,134.4280957
2069,270-088C,"""Deer Point Rocks Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-088 through 270-098.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.19944444,-124.3758333,56.82213059
2070,270-093,"""Spruce Island""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"100' tall rock covered with conifers, grass and salal.  North of Deer Point.  Incorrectly described as 150' tall.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.19986518,-124.3770509,151.8932073
2071,270-092,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,80' high rock just north of Spruce Island.  Incorrectly described as 200' tall.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.2016953,-124.3764276,65.67187386
2072,270-094,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Includes four large rocks north of 270-092.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.20301586,-124.3778041,173.6997473
2073,270-091.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,State,Mainland colony.  Cliffs around Arch Rock viewpoint picnic area,California Current,,42.20485779,-124.376633,0
2074,270-091,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,81' high rock with patchy vegetation.  Just south of Arch Rock.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.20504233,-124.3788352,160.5457733
2075,270-090,Arch Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Arched rock near Arch Rock viewpoint at north end of Boardman State Park.  Some vegetation.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.20584694,-124.3783914,140.878596
2076,270-088.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Rocky headland east of Yellow Rock.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.20991317,-124.3778617,0
2077,270-089,Yellow Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Long yellowish rock at the north end of Samuel H. Boardman State Park.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.21085127,-124.3895026,936.0754437
2078,270-088,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"20' high rock, mostly awash.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.21217402,-124.3797359,136.8554273
2079,270-087.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,35' tall rock at the northern end of Samuel H. Boardman State Park.  Ice plant on southeast side.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.22731375,-124.3866343,76.46798983
2080,270-087,Mack Arch,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Very large arched rock at the south end of the Mack Reef group.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.2280578,-124.4090359,1492.241395
2081,270-087.1,"""Unnamed Colony""",BLOY Nest Sites,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Small flat rock south of Burnt Hill Creek,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.22929348,-124.3894232,79.9614826
2082,270-086,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,,Two rocks just north of Mack Arch.  Western rock is 80' high and unvegetated; eastern rock is probably awash in large swells.,California Current,,42.23150605,-124.4137379,1451.674816
2083,270-085,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Two rocks fairly close together in the southern part of Mack Reef group.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.23595859,-124.4139345,1168.716307
2084,270-080C,"""Mack Reef Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-080 through 270-087.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.23861111,-124.4113889,841.095146
2085,270-084,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Single rock 90' high in Mack Reef group.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24183894,-124.411154,677.400987
2086,270-083.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Single rock in Mack Reef group southwest of 270-083.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24383187,-124.4124542,605.2216747
2087,270-083,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Group of three rocks.  Westernmost rock is 120' tall with grass and low vegetation; easternmost is 90' tall and unvegetated.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24522828,-124.4103326,379.4982491
2088,270-081,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,100' high rock with patch of thick grass on top.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24756085,-124.4105997,168.1971746
2089,270-080,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,122' high rock south of Crook Point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24803778,-124.4123869,229.2079056
2090,270-082,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Group of four rocks.  Westernmost rock is 122' tall with sparse vegetation; easternmost is 100' tall with patch of thick grass on top.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.24863577,-124.4112284,112.9203874
2091,270-079,Saddle Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Large, vegetated saddle-shaped rock with deep sandy soils adjacent to the tip of Crook Point.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25042395,-124.4151687,130.291471
2092,270-078,Crook Point,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Crook Point pinnacle and loose rocks around base.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25186467,-124.4144118,0
2093,270-077,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks north of Crook Point pinnacle.  Tallest 50' high.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25369285,-124.4135482,120.7852588
2094,270-075C,"""Crook Point Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-075 through 270-079.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25388889,-124.415,189.1545697
2095,270-076,"""North Crook Point Rock""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Largest vegetated rock north of Crook Point.  Beach access at low tide.  Vegetation includes Juncus, succulents, figwort.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25677011,-124.4135226,220.8587996
2096,270-075,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Small rock north of Crook Point and west of 270-076.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.25748626,-124.4153869,384.7841444
2097,270-074.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,25' high rock in surf zone; joined to beach at low tide.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.29528637,-124.411694,116.3545092
2098,270-074,"""Myers Creek Rocks""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks south of Myers Creek mouth.  Some rocks are vegetated.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.30192249,-124.4145167,116.7746867
2099,270-073,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,50' high rock covered with low vegetation between Cave Rock and Myers Creek mouth.  May be joined to mainland on very low tide.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.30786988,-124.4148841,139.6561039
2100,270-072,Cave Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,"Flat, partially vegetated rock.",California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.3093913,-124.4168183,202.1886971
2101,270-071,Hunters Island,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Large island 105' tall just south of Cape Sebastian.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.31401027,-124.425843,550.5471548
2102,270-070.1,"""Cape Sebastian South""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs at south end of Cape Sebastian.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.31942603,-124.4292959,0
2103,270-070,"""Cape Sebastian North""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Small rocky headland and adjacent cliffs to the north at the north end of Cape Sebastian.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.3258642,-124.4319754,0
2104,270-069.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs between Daniels Creek and Cape Sebastian.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.33300343,-124.4289213,0
2105,270-069.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs just south of Daniels Creek.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.33915269,-124.428786,0
2106,270-069,Pyramid Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Westernmost large rock in the Rogue River Reef group.  Major rookery for Steller sea lions.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.44410484,-124.4693645,2820.003948
2107,270-067C,"""Rogue River Reef Complex""",Colony Complex,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,COMPLEX includes 270-067 through 270-069.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.44666667,-124.4788889,3644.506151
2108,270-068,Needle Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Large rock west of Pyramid Rock in the Rogue River Reef group.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.44836942,-124.4836132,4061.654438
2109,270-067,Double Rock,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,50' craggy rock west of Needle Rock in the Rogue River Reef.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.4494567,-124.4901113,4609.208848
2110,270-066.3,Otter Point,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs and bluffs of Otter Point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.46347835,-124.4257365,0
2111,270-066.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,75' high rock with some vegetation on north side.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.46501244,-124.4242963,71.67417885
2112,270-066.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Cluster of rocks north of Otter Point.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.46790748,-124.4251804,207.9480355
2113,270-066,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,,25' high unvegetated rock southeast of Hubbard Mound.,California Current,,42.4734648,-124.4243757,210.0569617
2115,270-062.2,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,50' high rock off the southern tip of Hubbard Mound.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.4772837,-124.4270039,69.28469622
2116,270-065,Hubbard Mound,Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Mainland colony.  Cliffs and bluffs along western face of Hubbard Mound.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.47733673,-124.4254722,0
2117,270-062.1,"""Unnamed Colony""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Small round rock off Hubbard Mound.  Approx. 20' high; attached to mainland at low tide.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.47877447,-124.4258592,20.86295224
2118,270-064,"""Dog Rock""",Colony,Curry County,Oregon,United States,Southern Oregon and Northern California,USFWS,Flat-topped rock 15' high off Hubbard Mound.  No vegetation.,California Current,OREGON ISLANDS NATIONAL WILDLIFE REFUGE,42.47917319,-124.4387351,1052.374487
