ID,USFWSGroupedColonyCode,USFWSColonyCode,CCN,ColonyName,SubColonyName,FullColonyName,County,ColonyType,LocationComments,Longitude,Latitude,Island,Jurisdiction,SubRegion
116,325-054,325-054-11,HU-410-18,Trinidad Bay Rocks,11,Trinidad Bay Rocks-11,Humboldt,Subcolony,,-124.13111800000,41.05024299970,,BLM,Southern Oregon and Northern California
117,325-054,325-054-12,HU-410-18,Trinidad Bay Rocks,12,Trinidad Bay Rocks-12,Humboldt,Subcolony,,-124.12914100000,41.04973399970,,BLM,Southern Oregon and Northern California
118,325-054,325-054-13,HU-410-18,Trinidad Bay Rocks,13,Trinidad Bay Rocks-13,Humboldt,Subcolony,,-124.12817500000,41.04894200020,,BLM,Southern Oregon and Northern California
119,325-054,325-054-14,HU-410-18,Trinidad Bay Rocks,14,Trinidad Bay Rocks-14,Humboldt,Subcolony,,-124.12553400000,41.04677200010,,,Southern Oregon and Northern California
120,325-054,325-054-15,HU-410-18,Trinidad Bay Rocks,15,Trinidad Bay Rocks-15,Humboldt,Subcolony,,-124.12749000000,41.04357999970,,BLM,Southern Oregon and Northern California
121,325-054,325-054-16,HU-410-18,Trinidad Bay Rocks,16,Trinidad Bay Rocks-16,Humboldt,Subcolony,,-124.12420200000,41.04317900030,,BLM,Southern Oregon and Northern California
122,325-054,325-054-17,HU-410-18,Trinidad Bay Rocks,17,Trinidad Bay Rocks-17,Humboldt,Subcolony,,-124.12146200000,41.04262899980,,BLM,Southern Oregon and Northern California
123,325-054,325-054-18,HU-410-18,Trinidad Bay Rocks,18,Trinidad Bay Rocks-18,Humboldt,Subcolony,,-124.12108100000,41.04008399990,,BLM,Southern Oregon and Northern California
124,325-054,325-054-19,HU-410-18,Trinidad Bay Rocks,19,Trinidad Bay Rocks-19,Humboldt,Subcolony,,-124.12180100000,41.04012600010,,BLM,Southern Oregon and Northern California
125,325-054,325-054-20,HU-410-18,Trinidad Bay Rocks,20,Trinidad Bay Rocks-20,Humboldt,Subcolony,,-124.12053300000,41.03651599980,,BLM,Southern Oregon and Northern California
126,325-054,325-054-21,HU-410-18,Trinidad Bay Rocks,21,Trinidad Bay Rocks-21,Humboldt,Subcolony,,-124.12472866100,41.03671498780,,BLM,Southern Oregon and Northern California
127,325-054,325-054-99,HU-410-18,Trinidad Bay Rocks,99,Trinidad Bay Rocks Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.13408200000,41.04776200000,,BLM,Southern Oregon and Northern California
128,325-055,325-055-01,HU-400-01,Three Brothers and Hair Seal Rocks,1,Three Brothers and Hair Seal Rocks-1,Humboldt,Subcolony,,-124.35369500000,40.32601600010,,BLM,Southern Oregon and Northern California
129,325-055,325-055-02,HU-400-01,Three Brothers and Hair Seal Rocks,2,Three Brothers and Hair Seal Rocks-2,Humboldt,Subcolony,,-124.36221000000,40.32603599990,,,Southern Oregon and Northern California
130,325-055,325-055-99,HU-400-01,Three Brothers and Hair Seal Rocks,99,Three Brothers and Hair Seal Rocks Centroid,Humboldt,"Colony, centroid of subcolonies",,-124.35979200000,40.32565700010,,,Southern Oregon and Northern California
131,325-056,325-056-00,,Cormorant Hotel,0,Cormorant Hotel,Humboldt,"Colony, no subcolonies",,-124.08031800000,40.03591099980,,,Northern California
132,325-057,325-057-01,,Point Saint George,1,Point Saint George-1,Del Norte,Subcolony,,-124.26383900000,41.78941500030,,,Southern Oregon and Northern California
133,325-057,325-057-02,,Point Saint George,2,Point Saint George-2,Del Norte,Subcolony,,-124.25972100000,41.78347400020,,BLM,Southern Oregon and Northern California
134,325-057,325-057-03,,Point Saint George,3,Point Saint George-3,Del Norte,Subcolony,,-124.25762400000,41.78619700020,,,Southern Oregon and Northern California
135,325-057,325-057-04,,Point Saint George,4,Point Saint George-4,Del Norte,Subcolony,,-124.24992900000,41.77044599990,,,Southern Oregon and Northern California
136,325-057,325-057-99,,Point Saint George,99,Point Saint George Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.25545361500,41.77710384620,,,Southern Oregon and Northern California
137,325-058,325-058-00,,Wilson Rock,0,Wilson Rock,Del Norte,"Colony, no subcolonies",,-124.11319500000,41.59719099990,,,Southern Oregon and Northern California
138,325-059,325-059-00,,Midway Point to Damnation Creek,0,Midway Point to Damnation Creek,Del Norte,"Colony, no subcolonies",,-124.13376600000,41.65502300020,,,Southern Oregon and Northern California
139,325-060,325-060-00,,False Klamath Cove to Pine Point,0,False Klamath Cove to Pine Point,Del Norte,"Colony, no subcolonies",,-124.09921261900,41.58350327320,,,Southern Oregon and Northern California
140,325-061,325-061-01,DN-412-12,High Bluff South,1,High Bluff South-1,Del Norte,Subcolony,,-124.08174100000,41.51004900000,,,Southern Oregon and Northern California
141,325-061,325-061-02,DN-412-12,High Bluff South,2,High Bluff South-2,Del Norte,Subcolony,,-124.08160000000,41.50626400030,,,Southern Oregon and Northern California
142,325-061,325-061-03,DN-412-12,High Bluff South,3,High Bluff South-3,Del Norte,Subcolony,,-124.08070800000,41.50440899980,,,Southern Oregon and Northern California
143,325-061,325-061-99,DN-412-12,High Bluff South,99,High Bluff South Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.08162155800,41.50750090420,,,Southern Oregon and Northern California
144,325-062,325-062-01,DN-412-13,Split Rock,1,Split Rock-1,Del Norte,Subcolony,,-124.07581400000,41.49417800000,,,Southern Oregon and Northern California
145,325-062,325-062-02,DN-412-13,Split Rock,2,Split Rock-2,Del Norte,Subcolony,,-124.07176300000,41.48278700000,,,Southern Oregon and Northern California
146,325-062,325-062-03,DN-412-13,Split Rock,3,Split Rock-3,Del Norte,Subcolony,,-124.06768900000,41.45513799980,,,Southern Oregon and Northern California
147,325-062,325-062-99,DN-412-13,Split Rock,99,Split Rock Centroid,Del Norte,"Colony, centroid of subcolonies",,-124.06974100000,41.47516600010,,,Southern Oregon and Northern California
148,325-063,325-063-00,,Dry Lagoon Cliffs,0,Dry Lagoon Cliffs,Humboldt,"Colony, no subcolonies",,-124.10850632200,41.23625411800,,,Southern Oregon and Northern California
149,325-064,325-064-00,,Pewetole Island,0,Pewetole Island,Humboldt,"Colony, no subcolonies",,-124.15259500000,41.06344300020,,BLM,Southern Oregon and Northern California
150,325-065,325-065-01,HU-404-04,Humboldt Bay Platforms,1,Humboldt Bay Platforms-1,Humboldt,Subcolony,,-124.23521300000,40.73576600010,,,Southern Oregon and Northern California
151,325-065,325-065-02,HU-404-04,Humboldt Bay Platforms,2,Humboldt Bay Platforms-2,Humboldt,Subcolony,,-124.22829900000,40.72579500030,,,Southern Oregon and Northern California
152,325-065,325-065-03,HU-404-04,Humboldt Bay Platforms,3,Humboldt Bay Platforms-3,Humboldt,Subcolony,,-124.23810000000,40.72378899980,,,Southern Oregon and Northern California
153,325-065,325-065-04,HU-404-04,Humboldt Bay Platforms,4,Humboldt Bay Platforms-4,Humboldt,Subcolony,,-124.24241600000,40.71464900020,,,Southern Oregon and Northern California
